"question_number","question","option","is_correct","image_link"
10,"Was ist mit dem deutschen Grundgesetz vereinbar?","die Folter","No",
10,"Was ist mit dem deutschen Grundgesetz vereinbar?","die Todesstrafe","No",
10,"Was ist mit dem deutschen Grundgesetz vereinbar?","die Geldstrafe","Yes",
11,"Wie wird die Verfassung der Bundesrepublik Deutschland genannt?","Grundgesetz","Yes",
11,"Wie wird die Verfassung der Bundesrepublik Deutschland genannt?","Bundesverfassung","No",
11,"Wie wird die Verfassung der Bundesrepublik Deutschland genannt?","Gesetzbuch","No",
11,"Wie wird die Verfassung der Bundesrepublik Deutschland genannt?","Verfassungsvertrag","No",
12,"Eine Partei im Deutschen Bundestag will die Pressefreiheit abschaffen. Ist das möglich?","Ja, wenn mehr als die Hälfte der Abgeordneten im Bundestag dafür sind.","No",
12,"Eine Partei im Deutschen Bundestag will die Pressefreiheit abschaffen. Ist das möglich?","Ja, aber dazu müssen zwei Drittel der Abgeordneten im Bundestag dafür sein.","No",
12,"Eine Partei im Deutschen Bundestag will die Pressefreiheit abschaffen. Ist das möglich?","Nein, denn die Pressefreiheit ist ein Grundrecht. Sie kann nicht abgeschafft werden.","Yes",
12,"Eine Partei im Deutschen Bundestag will die Pressefreiheit abschaffen. Ist das möglich?","Nein, denn nur der Bundesrat kann die Pressefreiheit abschaffen.","No",
13,"Im Parlament steht der Begriff „Opposition“ für…","die regierenden Parteien.","No",
13,"Im Parlament steht der Begriff „Opposition“ für…","alle Abgeordneten, die nicht zu der Regierungspartei/den Regierungsparteien gehören.","Yes",
13,"Im Parlament steht der Begriff „Opposition“ für…","die Fraktion mit den meisten Abgeordneten.","No",
13,"Im Parlament steht der Begriff „Opposition“ für…","alle Parteien, die bei der letzten Wahl die 5%-Hürde erreichen konnten.","No",
14,"Meinungsfreiheit in Deutschland heißt zum Beispiel, dass ich …","Passanten auf der Straße beschimpfen darf.","No",
14,"Meinungsfreiheit in Deutschland heißt zum Beispiel, dass ich …","meine Meinung im Internet äußern kann.","Yes",
14,"Meinungsfreiheit in Deutschland heißt zum Beispiel, dass ich …","Nazi-, Hamas- oder Islamischer Staat-Symbole öffentlich tragen darf.","No",
14,"Meinungsfreiheit in Deutschland heißt zum Beispiel, dass ich …","meine Meinung nur dann äußern darf, solange ich der Regierung nicht widerspreche.","No",
15,"Was verbietet das deutsche Grundgesetz?","Militärdienst","No",
15,"Was verbietet das deutsche Grundgesetz?","Zwangsarbeit","Yes",
15,"Was verbietet das deutsche Grundgesetz?","freie Berufswahl","No",
15,"Was verbietet das deutsche Grundgesetz?","Arbeit im Ausland","No",
16,"Wann ist die Meinungsfreiheit in Deutschland eingeschränkt?","bei der öffentlichen Verbreitung falscher Behauptungen über einzelne Personen","Yes",
16,"Wann ist die Meinungsfreiheit in Deutschland eingeschränkt?","bei Meinungsäußerungen über die Bundesregierung","No",
16,"Wann ist die Meinungsfreiheit in Deutschland eingeschränkt?","bei Diskussionen über Religionen","No",
16,"Wann ist die Meinungsfreiheit in Deutschland eingeschränkt?","bei Kritik am Staat","No",
17,"Die deutschen Gesetze verbieten …","Meinungsfreiheit der Einwohner und Einwohnerinnen.","No",
17,"Die deutschen Gesetze verbieten …","Petitionen der Bürger und Bürgerinnen.","No",
17,"Die deutschen Gesetze verbieten …","Versammlungsfreiheit der Einwohner und Einwohnerinnen.","No",
17,"Die deutschen Gesetze verbieten …","Ungleichbehandlung der Bürger und Bürgerinnen durch den Staat.","Yes",
18,"Welches Grundrecht ist in Artikel 1 des Grundgesetzes der Bundesrepublik Deutschland garantiert?","die Unantastbarkeit der Menschenwürde","Yes",
18,"Welches Grundrecht ist in Artikel 1 des Grundgesetzes der Bundesrepublik Deutschland garantiert?","das Recht auf Leben","No",
18,"Welches Grundrecht ist in Artikel 1 des Grundgesetzes der Bundesrepublik Deutschland garantiert?","Religionsfreiheit","No",
18,"Welches Grundrecht ist in Artikel 1 des Grundgesetzes der Bundesrepublik Deutschland garantiert?","Meinungsfreiheit","No",
19,"Was versteht man unter dem Recht der „Freizügigkeit“ in Deutschland?","Man darf sich seinen Wohnort selbst aussuchen.","Yes",
19,"Was versteht man unter dem Recht der „Freizügigkeit“ in Deutschland?","Man kann seinen Beruf wechseln.","No",
19,"Was versteht man unter dem Recht der „Freizügigkeit“ in Deutschland?","Man darf sich für eine andere Religion entscheiden.","No",
19,"Was versteht man unter dem Recht der „Freizügigkeit“ in Deutschland?","Man darf sich in der Öffentlichkeit nur leicht bekleidet bewegen.","No",
20,"Eine Partei in Deutschland verfolgt das Ziel, eine Diktatur zu errichten. Sie ist dann …","tolerant.","No",
20,"Eine Partei in Deutschland verfolgt das Ziel, eine Diktatur zu errichten. Sie ist dann …","rechtsstaatlich orientiert.","No",
20,"Eine Partei in Deutschland verfolgt das Ziel, eine Diktatur zu errichten. Sie ist dann …","gesetzestreu.","No",
20,"Eine Partei in Deutschland verfolgt das Ziel, eine Diktatur zu errichten. Sie ist dann …","verfassungswidrig.","Yes",
21,"Welches ist das Wappen der Bundesrepublik Deutschland?","einköpfiger Adler auf einem (gelben) Schild.","Yes","https://drive.google.com/file/d/1pPA0tMTe1tQUq_qM71ByEWLrtnSD4ot2/view?usp=drive_link"
21,"Welches ist das Wappen der Bundesrepublik Deutschland?","Zwei vereinigte Symbole.","No","https://drive.google.com/file/d/1pPA0tMTe1tQUq_qM71ByEWLrtnSD4ot2/view?usp=drive_link"
21,"Welches ist das Wappen der Bundesrepublik Deutschland?","stilisiertes Tatzenkreuz.","No","https://drive.google.com/file/d/1pPA0tMTe1tQUq_qM71ByEWLrtnSD4ot2/view?usp=drive_link"
21,"Welches ist das Wappen der Bundesrepublik Deutschland?","Ährenkranz mit Hammer und Zirkel","No","https://drive.google.com/file/d/1pPA0tMTe1tQUq_qM71ByEWLrtnSD4ot2/view?usp=drive_link"
22,"Was für eine Staatsform hat Deutschland?","Monarchie","No",
22,"Was für eine Staatsform hat Deutschland?","Diktatur","No",
22,"Was für eine Staatsform hat Deutschland?","Republik","Yes",
22,"Was für eine Staatsform hat Deutschland?","Fürstentum","No",
23,"In Deutschland sind die meisten Erwerbstätigen …","bei einer Firma oder Behörde beschäftigt.","Yes",
23,"In Deutschland sind die meisten Erwerbstätigen …","in kleinen Familienunternehmen beschäftigt.","No",
23,"In Deutschland sind die meisten Erwerbstätigen …","ehrenamtlich für ein Bundesland tätig.","No",
23,"In Deutschland sind die meisten Erwerbstätigen …","selbständig mit einer eigenen Firma tätig.","No",
24,"Wie viele Bundesländer hat die Bundesrepublik Deutschland?",14,"No",
24,"Wie viele Bundesländer hat die Bundesrepublik Deutschland?",15,"No",
24,"Wie viele Bundesländer hat die Bundesrepublik Deutschland?",16,"Yes",
24,"Wie viele Bundesländer hat die Bundesrepublik Deutschland?",17,"No",
25,"Was ist kein Bundesland der Bundesrepublik Deutschland?","NRW","No",
25,"Was ist kein Bundesland der Bundesrepublik Deutschland?","Elsass-Lothringen","Yes",
25,"Was ist kein Bundesland der Bundesrepublik Deutschland?","Mecklenburg-Vorpommern","No",
25,"Was ist kein Bundesland der Bundesrepublik Deutschland?","Sachsen-Anhalt","No",
26,"Deutschland ist …","eine kommunistische Republik.","No",
26,"Deutschland ist …","ein demokratischer und sozialer Bundesstaat.","Yes",
26,"Deutschland ist …","eine kapitalistische und soziale Monarchie.","No",
26,"Deutschland ist …","ein sozialer und sozialistischer Bundesstaat.","No",
27,"Deutschland ist …","ein sozialistischer Staat.","No",
27,"Deutschland ist …","ein Bundesstaat.","Yes",
27,"Deutschland ist …","eine Diktatur.","No",
27,"Deutschland ist …","eine Monarchie.","No",
28,"Wer wählt in Deutschland die Abgeordneten zum Bundestag?","das Militär","No",
28,"Wer wählt in Deutschland die Abgeordneten zum Bundestag?","die Wirtschaft","No",
28,"Wer wählt in Deutschland die Abgeordneten zum Bundestag?","das wahlberechtigte Volk","Yes",
28,"Wer wählt in Deutschland die Abgeordneten zum Bundestag?","die Verwaltung","No",
29,"Welches Tier ist das Wappentier der Bundesrepublik Deutschland?","Löwe","No",
29,"Welches Tier ist das Wappentier der Bundesrepublik Deutschland?","Adler","Yes",
29,"Welches Tier ist das Wappentier der Bundesrepublik Deutschland?","Bär","No",
29,"Welches Tier ist das Wappentier der Bundesrepublik Deutschland?","Pferd","No",
30,"Was ist kein Merkmal unserer Demokratie?","regelmäßige Wahlen","No",
30,"Was ist kein Merkmal unserer Demokratie?","Pressezensur","Yes",
30,"Was ist kein Merkmal unserer Demokratie?","Meinungsfreiheit","No",
30,"Was ist kein Merkmal unserer Demokratie?","verschiedene Parteien","No",
31,"Die Zusammenarbeit von Parteien zur Bildung einer Regierung nennt man in Deutschland …","Einheit.","No",
31,"Die Zusammenarbeit von Parteien zur Bildung einer Regierung nennt man in Deutschland …","Koalition.","Yes",
31,"Die Zusammenarbeit von Parteien zur Bildung einer Regierung nennt man in Deutschland …","Ministerium.","No",
31,"Die Zusammenarbeit von Parteien zur Bildung einer Regierung nennt man in Deutschland …","Fraktion.","No",
32,"Was ist keine staatliche Gewalt in Deutschland?","Gesetzgebung","No",
32,"Was ist keine staatliche Gewalt in Deutschland?","Regierung","No",
32,"Was ist keine staatliche Gewalt in Deutschland?","Presse","Yes",
32,"Was ist keine staatliche Gewalt in Deutschland?","Rechtsprechung","No",
33,"Welche Aussage ist richtig? In Deutschland …","sind Staat und Religionsgemeinschaften voneinander getrennt.","Yes",
33,"Welche Aussage ist richtig? In Deutschland …","bilden die Religionsgemeinschaften den Staat.","No",
33,"Welche Aussage ist richtig? In Deutschland …","ist der Staat abhängig von den Religionsgemeinschaften.","No",
33,"Welche Aussage ist richtig? In Deutschland …","bilden Staat und Religionsgemeinschaften eine Einheit.","No",
34,"Was ist Deutschland nicht?","eine Demokratie","No",
34,"Was ist Deutschland nicht?","ein Rechtsstaat","No",
34,"Was ist Deutschland nicht?","eine Monarchie","Yes",
34,"Was ist Deutschland nicht?","ein Sozialstaat","No",
35,"Womit finanziert der deutsche Staat die Sozialversicherung?","Kirchensteuern","No",
35,"Womit finanziert der deutsche Staat die Sozialversicherung?","Sozialabgaben","Yes",
35,"Womit finanziert der deutsche Staat die Sozialversicherung?","Spendengeldern","No",
35,"Womit finanziert der deutsche Staat die Sozialversicherung?","Vereinsbeiträgen","No",
36,"Welche Maßnahme schafft in Deutschland soziale Sicherheit?","die Krankenversicherung","Yes",
36,"Welche Maßnahme schafft in Deutschland soziale Sicherheit?","die Autoversicherung","No",
36,"Welche Maßnahme schafft in Deutschland soziale Sicherheit?","die Gebäudeversicherung","No",
36,"Welche Maßnahme schafft in Deutschland soziale Sicherheit?","die Haftpflichtversicherung","No",
37,"Wie werden die Regierungschefs / Regierungschefinnen der meisten Bundesländer in Deutschland genannt?","Erster Minister / Erste Ministerin","No",
37,"Wie werden die Regierungschefs / Regierungschefinnen der meisten Bundesländer in Deutschland genannt?","Premierminister / Premierministerin","No",
37,"Wie werden die Regierungschefs / Regierungschefinnen der meisten Bundesländer in Deutschland genannt?","Senator / Senatorin","No",
37,"Wie werden die Regierungschefs / Regierungschefinnen der meisten Bundesländer in Deutschland genannt?","Ministerpräsident / Ministerpräsidentin","Yes",
38,"Die Bundesrepublik Deutschland ist ein demokratischer und sozialer …","Staatenverbund.","No",
38,"Die Bundesrepublik Deutschland ist ein demokratischer und sozialer …","Bundesstaat.","Yes",
38,"Die Bundesrepublik Deutschland ist ein demokratischer und sozialer …","Staatenbund.","No",
38,"Die Bundesrepublik Deutschland ist ein demokratischer und sozialer …","Zentralstaat.","No",
39,"Was hat jedes deutsche Bundesland?","einen eigenen Außenminister / eine eigene Außenministerin","No",
39,"Was hat jedes deutsche Bundesland?","eine eigene Währung","No",
39,"Was hat jedes deutsche Bundesland?","eine eigene Armee","No",
39,"Was hat jedes deutsche Bundesland?","eine eigene Regierung","Yes",
40,"Mit welchen Worten beginnt die deutsche Nationalhymne?","Völker, hört die Signale …","No",
40,"Mit welchen Worten beginnt die deutsche Nationalhymne?","Einigkeit und Recht und Freiheit …","Yes",
40,"Mit welchen Worten beginnt die deutsche Nationalhymne?","Freude schöner Götterfunken …","No",
40,"Mit welchen Worten beginnt die deutsche Nationalhymne?","Deutschland einig Vaterland …","No",
41,"Warum gibt es in einer Demokratie mehr als eine Partei?","weil dadurch die unterschiedlichen Meinungen der Bürger und Bürgerinnen vertreten werden","Yes",
41,"Warum gibt es in einer Demokratie mehr als eine Partei?","damit Bestechung in der Politik begrenzt wird","No",
41,"Warum gibt es in einer Demokratie mehr als eine Partei?","um politische Demonstrationen zu verhindern","No",
41,"Warum gibt es in einer Demokratie mehr als eine Partei?","um wirtschaftlichen Wettbewerb anzuregen","No",
42,"Wer beschließt in Deutschland ein neues Gesetz?","die Regierung","No",
42,"Wer beschließt in Deutschland ein neues Gesetz?","das Parlament","Yes",
42,"Wer beschließt in Deutschland ein neues Gesetz?","die Gerichte","No",
42,"Wer beschließt in Deutschland ein neues Gesetz?","die Polizei","No",
43,"Wann kann in Deutschland eine Partei verboten werden?","wenn ihr Wahlkampf zu teuer ist","No",
43,"Wann kann in Deutschland eine Partei verboten werden?","wenn sie gegen die Verfassung kämpft","Yes",
43,"Wann kann in Deutschland eine Partei verboten werden?","wenn sie Kritik am Staatsoberhaupt äußert","No",
43,"Wann kann in Deutschland eine Partei verboten werden?","wenn ihr Programm eine neue Richtung vorschlägt","No",
44,"Wen kann man als Bürger / Bürgerin in Deutschland nicht direkt wählen?","Abgeordnete des EU-Parlaments","No",
44,"Wen kann man als Bürger / Bürgerin in Deutschland nicht direkt wählen?","den Bundespräsidenten / die Bundespräsidentin","Yes",
44,"Wen kann man als Bürger / Bürgerin in Deutschland nicht direkt wählen?","Landtagsabgeordnete","No",
44,"Wen kann man als Bürger / Bürgerin in Deutschland nicht direkt wählen?","Bundestagsabgeordnete","No",
45,"Zu welcher Versicherung gehört die Pflegeversicherung?","Socialversicherung","Yes",
45,"Zu welcher Versicherung gehört die Pflegeversicherung?","Unfallversicherung","No",
45,"Zu welcher Versicherung gehört die Pflegeversicherung?","Hausratversicherung","No",
45,"Zu welcher Versicherung gehört die Pflegeversicherung?","Haftpflicht- und Feuerversicherung","No",
46,"Der deutsche Staat hat viele Aufgaben. Welche Aufgabe gehört dazu?","Er baut Straßen und Schulen.","Yes",
46,"Der deutsche Staat hat viele Aufgaben. Welche Aufgabe gehört dazu?","Er verkauft Lebensmittel und Kleidung.","No",
46,"Der deutsche Staat hat viele Aufgaben. Welche Aufgabe gehört dazu?","Er versorgt alle Einwohner und Einwohnerinnen kostenlos mit Zeitungen.","No",
46,"Der deutsche Staat hat viele Aufgaben. Welche Aufgabe gehört dazu?","Er produziert Autos und Busse.","No",
47,"Der deutsche Staat hat viele Aufgaben. Welche Aufgabe gehört nicht dazu?","Er bezahlt für alle Staatsangehörigen Urlaubsreisen.","Yes",
47,"Der deutsche Staat hat viele Aufgaben. Welche Aufgabe gehört nicht dazu?","Er zahlt Kindergeld.","No",
47,"Der deutsche Staat hat viele Aufgaben. Welche Aufgabe gehört nicht dazu?","Er unterstützt Museen.","No",
47,"Der deutsche Staat hat viele Aufgaben. Welche Aufgabe gehört nicht dazu?","Er fördert Sportler und Sportlerinnen.","No",
48,"Welches Organ gehört nicht zu den Verfassungsorganen Deutschlands?","der Bundesrat","No",
48,"Welches Organ gehört nicht zu den Verfassungsorganen Deutschlands?","der Bundespräsident / die Bundespräsidentin","No",
48,"Welches Organ gehört nicht zu den Verfassungsorganen Deutschlands?","die Bürgerversammlung","Yes",
48,"Welches Organ gehört nicht zu den Verfassungsorganen Deutschlands?","die Regierung","No",
49,"Wer bestimmt in Deutschland die Schulpolitik?","Die Lehrer und Lehrerinnen","No",
49,"Wer bestimmt in Deutschland die Schulpolitik?","die Bundesländer","Yes",
49,"Wer bestimmt in Deutschland die Schulpolitik?","das Familienministerium","No",
49,"Wer bestimmt in Deutschland die Schulpolitik?","die Universitäten","No",
50,"Die Wirtschaftsform in Deutschland nennt man …","freie Zentralwirtschaft.","No",
50,"Die Wirtschaftsform in Deutschland nennt man …","soziale Marktwirtschaft.","Yes",
50,"Die Wirtschaftsform in Deutschland nennt man …","gelenkte Zentralwirtschaft.","No",
50,"Die Wirtschaftsform in Deutschland nennt man …","Planwirtschaft.","No",
51,"Zu einem demokratischen Rechtsstaat gehört es nicht, dass …","Menschen sich kritisch über die Regierung äußern können.","No",
51,"Zu einem demokratischen Rechtsstaat gehört es nicht, dass …","Bürger friedlich demonstrieren gehen dürfen.","No",
51,"Zu einem demokratischen Rechtsstaat gehört es nicht, dass …","Menschen von einer Privatpolizei ohne Grund verhaftet werden.","Yes",
51,"Zu einem demokratischen Rechtsstaat gehört es nicht, dass …","jemand ein Verbrechen begeht und deshalb verhaftet wird.","No",
52,"Was bedeutet „Volkssouveränität“? Alle Staatsgewalt geht vom …","Volke aus.","Yes",
52,"Was bedeutet „Volkssouveränität“? Alle Staatsgewalt geht vom …","Bundestag aus.","No",
52,"Was bedeutet „Volkssouveränität“? Alle Staatsgewalt geht vom …","preußischen König aus.","No",
52,"Was bedeutet „Volkssouveränität“? Alle Staatsgewalt geht vom …","Bundesverfassungsgericht aus.","No",
53,"Was bedeutet „Rechtsstaat“ in Deutschland?","Der Staat hat Recht.","No",
53,"Was bedeutet „Rechtsstaat“ in Deutschland?","Es gibt nur rechte Parteien.","No",
53,"Was bedeutet „Rechtsstaat“ in Deutschland?","Die Bürger und Bürgerinnen entscheiden über Gesetze.","No",
53,"Was bedeutet „Rechtsstaat“ in Deutschland?","Der Staat muss die Gesetze einhalten.","Yes",
54,"Was ist keine staatliche Gewalt in Deutschland?","Legislative","No",
54,"Was ist keine staatliche Gewalt in Deutschland?","Judikative","No",
54,"Was ist keine staatliche Gewalt in Deutschland?","Exekutive","No",
54,"Was ist keine staatliche Gewalt in Deutschland?","Direktive","Yes",
55,"Was zeigt dieses Bild?","Gebäude mit zwei Türmen rechts und links der Fassade, und einer Glaskuppel auf dem Dach mittig","No",
55,"Was zeigt dieses Bild?","den Bundestagssitz in Berlin","Yes",
55,"Was zeigt dieses Bild?","das Bundesverfassungsgericht in Karlsruhe","No",
55,"Was zeigt dieses Bild?","das Bundesratsgebäude in Berlin","No",
56,"Welches Amt gehört in Deutschland zur Gemeindeverwaltung?","Pfarramt","No",
56,"Welches Amt gehört in Deutschland zur Gemeindeverwaltung?","Ordnungsamt","Yes",
56,"Welches Amt gehört in Deutschland zur Gemeindeverwaltung?","Finanzamt","No",
56,"Welches Amt gehört in Deutschland zur Gemeindeverwaltung?","Auswärtiges Amt","No",
57,"Wer wird meistens zum Präsidenten / zur Präsidentin des Deutschen Bundestages gewählt?","der / die älteste Abgeordnete im Parlament","No",
57,"Wer wird meistens zum Präsidenten / zur Präsidentin des Deutschen Bundestages gewählt?","der Ministerpräsident / die Ministerpräsidentin des größten Bundeslandes","No",
57,"Wer wird meistens zum Präsidenten / zur Präsidentin des Deutschen Bundestages gewählt?","ein Abgeordneter / eine Abgeordnete der stärksten Fraktion","Yes",
57,"Wer wird meistens zum Präsidenten / zur Präsidentin des Deutschen Bundestages gewählt?","ein ehemaliger Bundeskanzler / eine ehemalige Bundeskanzlerin","No",
58,"Wer ernennt in Deutschland die Minister / die Ministerinnen der Bundesregierung?","der Präsident / die Präsidentin des Bundesverfassungsgerichtes","No",
58,"Wer ernennt in Deutschland die Minister / die Ministerinnen der Bundesregierung?","der Bundespräsident / die Bundespräsidentin","Yes",
58,"Wer ernennt in Deutschland die Minister / die Ministerinnen der Bundesregierung?","der Bundesratspräsident / die Bundesratspräsidentin","No",
58,"Wer ernennt in Deutschland die Minister / die Ministerinnen der Bundesregierung?","der Bundestagspräsident / die Bundestagspräsidentin","No",
59,"Vor wie vielen Jahren gab es erstmals eine jüdische Gemeinde auf dem Gebiet des heutigen Deutschlands?","vor etwa 300 Jahren","No",
59,"Vor wie vielen Jahren gab es erstmals eine jüdische Gemeinde auf dem Gebiet des heutigen Deutschlands?","vor etwa 700 Jahren","No",
59,"Vor wie vielen Jahren gab es erstmals eine jüdische Gemeinde auf dem Gebiet des heutigen Deutschlands?","vor etwa 1150 Jahren","No",
59,"Vor wie vielen Jahren gab es erstmals eine jüdische Gemeinde auf dem Gebiet des heutigen Deutschlands?","vor etwa 1700 Jahren","Yes",
60,"In Deutschland gehören der Bundestag und der Bundesrat zur …","Exekutive.","No",
60,"In Deutschland gehören der Bundestag und der Bundesrat zur …","Legislative.","Yes",
60,"In Deutschland gehören der Bundestag und der Bundesrat zur …","Direktive.","No",
60,"In Deutschland gehören der Bundestag und der Bundesrat zur …","Judikative.","No",
61,"Was bedeutet „Volkssouveränität“?","Der König / die Königin herrscht über das Volk.","No",
61,"Was bedeutet „Volkssouveränität“?","Das Bundesverfassungsgericht steht über der Verfassung.","No",
61,"Was bedeutet „Volkssouveränität“?","Die Interessenverbände üben die Souveränität zusammen mit der Regierung aus.","No",
61,"Was bedeutet „Volkssouveränität“?","Die Staatsgewalt geht vom Volke aus.","Yes",
62,"Wenn das Parlament eines deutschen Bundeslandes gewählt wird, nennt man das …","Kommunalwahl.","No",
62,"Wenn das Parlament eines deutschen Bundeslandes gewählt wird, nennt man das …","Landtagswahl.","Yes",
62,"Wenn das Parlament eines deutschen Bundeslandes gewählt wird, nennt man das …","Europawahl.","No",
62,"Wenn das Parlament eines deutschen Bundeslandes gewählt wird, nennt man das …","Bundestagswahl.","No",
63,"Was gehört in Deutschland nicht zur Exekutive?","die Polizei","No",
63,"Was gehört in Deutschland nicht zur Exekutive?","die Gerichte","Yes",
63,"Was gehört in Deutschland nicht zur Exekutive?","das Finanzamt","No",
63,"Was gehört in Deutschland nicht zur Exekutive?","die Ministerien","No",
64,"Die Bundesrepublik Deutschland ist heute gegliedert in …","vier Besatzungszonen.","No",
64,"Die Bundesrepublik Deutschland ist heute gegliedert in …","einen Oststaat und einen Weststaat.","No",
64,"Die Bundesrepublik Deutschland ist heute gegliedert in …","16 Kantone.","No",
64,"Die Bundesrepublik Deutschland ist heute gegliedert in …","Bund, Länder und Kommunen.","Yes",
65,"Es gehört nicht zu den Aufgaben des Deutschen Bundestages, …","Gesetze zu entwerfen.","No",
65,"Es gehört nicht zu den Aufgaben des Deutschen Bundestages, …","die Bundesregierung zu kontrollieren.","No",
65,"Es gehört nicht zu den Aufgaben des Deutschen Bundestages, …","den Bundeskanzler / die Bundeskanzlerin zu wählen.","No",
65,"Es gehört nicht zu den Aufgaben des Deutschen Bundestages, …","das Bundeskabinett zu bilden.","Yes",
66,"Welche Städte haben die größten jüdischen Gemeinden in Deutschland?","Berlin und München","Yes",
66,"Welche Städte haben die größten jüdischen Gemeinden in Deutschland?","Hamburg und Essen","No",
66,"Welche Städte haben die größten jüdischen Gemeinden in Deutschland?","Nürnberg und Stuttgart","No",
66,"Welche Städte haben die größten jüdischen Gemeinden in Deutschland?","Worms und Speyer","No",
67,"Was ist in Deutschland vor allem eine Aufgabe der Bundesländer?","Verteidigungspolitik","No",
67,"Was ist in Deutschland vor allem eine Aufgabe der Bundesländer?","Außenpolitik","No",
67,"Was ist in Deutschland vor allem eine Aufgabe der Bundesländer?","Wirtschaftspolitik","No",
67,"Was ist in Deutschland vor allem eine Aufgabe der Bundesländer?","Schulpolitik","Yes",
68,"Warum kontrolliert der Staat in Deutschland das Schulwesen?","weil es in Deutschland nur staatliche Schulen gibt","No",
68,"Warum kontrolliert der Staat in Deutschland das Schulwesen?","weil alle Schüler und Schülerinnen einen Schulabschluss haben müssen","No",
